frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
0,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000
1,-2.100000,1.000000,0.000000,1.000000000,0.000000000,-2.099999905,0.000000000,1.000000000,1.000000000
2,3.700000,0.000000,0.000000,1.000000000,0.000000000,1.600000143,0.000000000,1.000000000,1.000000000
3,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,1.300000191,0.000000000,1.000000000,0.699999988
4,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.300000191,0.000000000,1.000000000,0.699999988
5,-1.600000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,0.699999988
6,-0.000000,-0.300000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,0.399999976
7,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,0.399999976
8,0.000000,-0.500000,-0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.100000024
9,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.100000024
10,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.100000024
11,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.100000024
12,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.100000024
13,0.000000,-0.300000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.400000036
14,0.300000,0.300000,0.000000,1.000000000,0.000000000,0.000000179,0.000000000,1.000000000,-0.100000024
15,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,-0.299999833,0.000000000,1.000000000,-0.400000036
16,-0.200000,0.000000,0.000000,1.000000000,0.000000000,-0.499999821,0.000000000,1.000000000,-0.400000036
17,0.000000,0.000000,0.000000,1.000000000,0.000000000,-0.499999821,0.000000000,1.000000000,-0.400000036
18,1.000000,0.000000,-0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.400000036
19,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.400000036
20,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
21,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
22,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
23,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
24,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
25,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
26,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
27,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.200000167,0.000000000,1.000000000,-0.700000048
28,0.600000,0.200000,0.000000,1.000000000,0.000000000,0.800000191,0.000000000,1.000000000,-0.500000060
29,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.800000072
30,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.800000072
31,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.800000072
32,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.800000072
33,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.500000179,0.000000000,1.000000000,-0.800000072
34,0.200000,0.300000,0.000000,1.000000000,0.000000000,0.700000167,0.000000000,1.000000000,-0.500000060
35,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.700000167,0.000000000,1.000000000,-0.500000060
36,0.300000,0.300000,0.000000,1.000000000,0.000000000,1.000000238,0.000000000,1.000000000,-0.200000048
37,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.000000238,0.000000000,1.000000000,-0.200000048
38,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.000000238,0.000000000,1.000000000,-0.200000048
39,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.000000238,0.000000000,1.000000000,-0.200000048
40,0.100000,0.300000,0.000000,1.000000000,0.000000000,1.100000262,0.000000000,1.000000000,0.099999964
41,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.100000262,0.000000000,1.000000000,0.099999964
42,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,0.800000250,0.000000000,1.000000000,-0.200000048
43,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.800000250,0.000000000,1.000000000,-0.200000048
44,0.300000,0.300000,0.000000,1.000000000,0.000000000,1.100000262,0.000000000,1.000000000,0.099999964
45,-0.500000,-0.300000,0.000000,1.000000000,0.000000000,0.600000262,0.000000000,1.000000000,-0.200000048
46,0.800000,0.500000,0.000000,1.000000000,0.000000000,1.400000334,0.000000000,1.000000000,0.299999952
47,-0.300000,0.000000,0.000000,1.000000000,0.000000000,1.100000381,0.000000000,1.000000000,0.299999952
48,-0.300000,-0.300000,0.000000,1.000000000,0.000000000,0.800000370,0.000000000,1.000000000,-0.000000060
49,0.500000,0.300000,0.000000,1.000000000,0.000000000,1.300000429,0.000000000,1.000000000,0.299999952
50,1.500000,1.300000,0.000000,1.000000000,0.000000000,2.800000429,0.000000000,1.000000000,1.599999905
51,-1.600000,-1.200000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.399999857
52,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.399999857
53,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.399999857
54,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.399999857
55,0.000000,-0.300000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
56,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
57,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
58,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
59,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
60,0.200000,0.300000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
61,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
62,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
63,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
64,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
65,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
66,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
