frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
0,0.000000,0.000000,0.000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000
1,-0.000000,-81.500000,-0.600000,0.999945164,-0.010471785,5.909735203,0.010471785,0.999945164,-88.165946960
2,-0.500000,-0.300000,0.000000,0.999945164,-0.010471785,5.409735203,0.010471785,0.999945164,-88.465950012
3,0.000000,0.000000,0.000000,0.999945164,-0.010471785,5.409735203,0.010471785,0.999945164,-88.465950012
4,0.000000,0.000000,0.000000,0.999945164,-0.010471785,5.409735203,0.010471785,0.999945164,-88.465950012
5,0.000000,0.000000,0.000000,0.999945164,-0.010471785,5.409735203,0.010471785,0.999945164,-88.465950012
6,-1.000000,0.000000,0.000000,0.999945164,-0.010471785,4.409735203,0.010471785,0.999945164,-88.465950012
7,-6.000000,53.000000,0.600000,1.000000000,0.000000000,-6.947725296,0.000000000,1.000000000,-28.724357605
8,0.000000,0.000000,0.000000,1.000000000,0.000000000,-6.947725296,0.000000000,1.000000000,-28.724357605
9,0.000000,-2.000000,0.000000,1.000000000,0.000000000,-6.947725296,0.000000000,1.000000000,-30.724357605
10,0.000000,1.000000,0.000000,1.000000000,0.000000000,-6.947725296,0.000000000,1.000000000,-29.724357605
11,-0.500000,-0.300000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.024356842
12,0.000000,0.500000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-29.524356842
13,0.000000,-0.500000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.024356842
14,0.000000,-0.500000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.524356842
15,0.000000,0.000000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.524356842
16,0.000000,-0.000000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.524356842
17,0.000000,0.000000,0.000000,1.000000000,0.000000000,-7.447725296,0.000000000,1.000000000,-30.524356842
18,-0.800000,0.300000,0.000000,1.000000000,0.000000000,-8.247725487,0.000000000,1.000000000,-30.224357605
19,-3.000000,-1.200000,-0.100000,0.999998450,-0.001745328,-10.355003357,0.001745329,0.999998450,-32.559349060
20,0.000000,-0.000000,0.000000,0.999998450,-0.001745328,-10.355003357,0.001745329,0.999998450,-32.559349060
21,-0.500000,3.500000,0.000000,0.999998450,-0.001745328,-10.855003357,0.001745329,0.999998450,-29.059349060
22,-1.000000,-2.000000,0.000000,0.999998450,-0.001745328,-11.855003357,0.001745329,0.999998450,-31.059349060
23,1.000000,0.000000,0.000000,0.999998450,-0.001745328,-10.855003357,0.001745329,0.999998450,-31.059349060
24,-1.800000,-0.000000,0.030000,0.999999225,-0.001221730,-12.922243118,0.001221731,0.999999225,-30.717811584
25,1.800000,0.000000,-0.030000,0.999998450,-0.001745328,-10.855004311,0.001745329,0.999998450,-31.058406830
26,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-10.855004311,0.001745329,0.999998450,-31.058406830
27,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-10.855004311,0.001745329,0.999998450,-31.058406830
28,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-10.855004311,0.001745329,0.999998450,-31.058406830
29,-10.000000,-4.000000,0.000000,0.999998450,-0.001745328,-20.855003357,0.001745329,0.999998450,-35.058406830
30,-0.500000,-0.500000,0.000000,0.999998450,-0.001745328,-21.355003357,0.001745329,0.999998450,-35.558406830
31,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-21.355003357,0.001745329,0.999998450,-35.558406830
32,4.000000,2.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
33,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
34,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
35,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
36,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
37,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
38,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
39,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
40,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
41,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
42,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
43,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
44,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
45,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
46,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
47,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
48,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
49,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
50,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
51,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
52,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
53,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
54,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
55,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
56,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
57,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
58,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
59,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
60,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
61,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
62,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
63,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
64,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
65,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
66,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
67,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
68,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
69,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
70,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
71,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
72,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-17.355003357,0.001745329,0.999998450,-33.558406830
